"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","oxidative phosphorylation","GO:0006119","3.0547043861574626e-7","6.515030811500783","145","96","10","25907","ATP5F1B,COX5A,ATP5F1A,COX4I1,COX6A1,NDUFB6,ATP5ME,NDUFC2,ATP5MF,CYC1"
"GO:BP","nucleoside phosphate metabolic process","GO:0006753","3.5443128029928804e-7","6.450467956474913","639","96","17","25907","ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ACAT1,ATP1B1,NDUFB6,SLC25A12,VDAC1,CNP,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF,MDH2"
"GO:BP","generation of precursor metabolites and energy","GO:0006091","3.6222445727153133e-7","6.441022229617005","468","96","15","25907","ATP5F1B,COX5A,ALDOA,ATP5F1A,COX4I1,ACAT1,COX6A1,NDUFB6,SLC25A12,ATP5ME,GAPDH,NDUFC2,ATP5MF,MDH2,CYC1"
"GO:BP","aerobic respiration","GO:0009060","4.0591853453542117e-7","6.391561118028161","200","96","11","25907","ATP5F1B,COX5A,ATP5F1A,COX4I1,COX6A1,NDUFB6,ATP5ME,NDUFC2,ATP5MF,MDH2,CYC1"
"GO:BP","proton motive force-driven ATP synthesis","GO:0015986","4.294965418473401e-7","6.36704032860262","71","96","8","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","purine ribonucleoside triphosphate biosynthetic process","GO:0009206","5.226791515568556e-7","6.281764822543134","109","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","purine nucleoside triphosphate biosynthetic process","GO:0009145","5.675328202156256e-7","6.246009018317409","110","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","nucleotide metabolic process","GO:0009117","5.762666777276252e-7","6.239376492508557","484","96","15","25907","ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ATP1B1,NDUFB6,SLC25A12,CNP,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF,MDH2"
"GO:BP","purine-containing compound metabolic process","GO:0072521","6.067774307227008e-7","6.216970581304684","571","96","16","25907","ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ACAT1,ATP1B1,NDUFB6,SLC25A12,VDAC1,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF,MDH2"
"GO:BP","cellular component organization","GO:0016043","6.540781901868757e-7","6.184370331894493","7668","96","58","25907","MBP,H2BC1,H2AX,TUBA1C,ACTA1,H4C1,H1-2,H1-4,THY1,H1-1,TUBA4A,ACTBL2,TUBB4A,TUBB3,NEFM,SLC25A5,H3F4,TUBB2A,H2AJ,ALDOA,COL1A1,TUBA3A,TPM1,H1-5,MAP1A,ACTB,MAP6,NEGR1,RAC1,TUBA8,HNRNPD,SYN1,COL1A2,PPIA,ADD2,MYOM2,BAIAP2,NDUFB6,SPTAN1,ATP1A3,NEFL,CNP,GAPDH,YWHAZ,HNRNPU,INA,MACROH2A2,VAMP2,VIM,CLTC,CNTN1,TUBB2B,NDUFC2,HIST2H2AA1,HNRNPA2B1,DMTN,AP2A1,TUBB5"
"GO:BP","nucleobase-containing small molecule metabolic process","GO:0055086","6.675274557323315e-7","6.175530866850537","666","96","17","25907","ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ACAT1,ATP1B1,NDUFB6,SLC25A12,VDAC1,CNP,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF,MDH2"
"GO:BP","nervous system development","GO:0007399","7.586161438868245e-7","6.119977919441873","2593","96","32","25907","MBP,H2AX,MPZ,THY1,ACTBL2,TUBB3,PLLP,ATP1A2,TUBB2A,H2AJ,MAP1A,ACTB,MAP6,NEGR1,RAC1,HNRNPD,SYN1,PPIA,ADD2,BAIAP2,SLC25A12,ATP1A3,NEFL,CNP,YWHAZ,INA,MACROH2A2,VIM,YWHAG,CNTN1,TUBB2B,AP2A1"
"GO:BP","ribonucleoside triphosphate biosynthetic process","GO:0009201","8.465831692703279e-7","6.072330369887147","115","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","system development","GO:0048731","9.008491201205235e-7","6.045347941303023","4155","96","41","25907","MBP,H2AX,MPZ,THY1,ACTBL2,TUBB3,ATP5F1B,PLLP,ATP1A2,TUBB2A,H2AJ,COL1A1,TPM1,MAP1A,ACTB,MAP6,NEGR1,RAC1,ACAT1,HNRNPD,SYN1,COL1A2,PPIA,ADD2,MYOM2,BAIAP2,SLC25A12,MATR3,ATP1A3,NEFL,CNP,YWHAZ,HNRNPU,INA,MACROH2A2,VIM,YWHAG,CNTN1,TUBB2B,AP2A1,HSPG2"
"GO:BP","purine ribonucleotide metabolic process","GO:0009150","9.151736963645092e-7","6.038496470727528","345","96","13","25907","ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ATP1B1,NDUFB6,SLC25A12,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","inorganic ion transmembrane transport","GO:0098660","0.0000010643507751374567","5.9729152192207255","889","96","19","25907","THY1,SLC25A5,ATP5F1B,ATP1A2,COX5A,ATP5F1A,ATP1A1,MTATP8,ATP1B1,SLC25A12,ATP1A3,VDAC1,ATP5ME,GNB2,VAMP2,SLC25A3,ATP5MG,ATP5MF,CYC1"
"GO:BP","purine nucleotide metabolic process","GO:0006163","0.0000011815032067864525","5.927565095286144","428","96","14","25907","ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ATP1B1,NDUFB6,SLC25A12,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF,MDH2"
"GO:BP","nucleoside triphosphate biosynthetic process","GO:0009142","0.0000014375202464990726","5.842386029851617","122","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","ribonucleotide metabolic process","GO:0009259","0.0000018771976006784583","5.7264900095483835","366","96","13","25907","ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ATP1B1,NDUFB6,SLC25A12,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","cellular component organization or biogenesis","GO:0071840","0.0000019406127123222372","5.712061128024185","7867","96","58","25907","MBP,H2BC1,H2AX,TUBA1C,ACTA1,H4C1,H1-2,H1-4,THY1,H1-1,TUBA4A,ACTBL2,TUBB4A,TUBB3,NEFM,SLC25A5,H3F4,TUBB2A,H2AJ,ALDOA,COL1A1,TUBA3A,TPM1,H1-5,MAP1A,ACTB,MAP6,NEGR1,RAC1,TUBA8,HNRNPD,SYN1,COL1A2,PPIA,ADD2,MYOM2,BAIAP2,NDUFB6,SPTAN1,ATP1A3,NEFL,CNP,GAPDH,YWHAZ,HNRNPU,INA,MACROH2A2,VAMP2,VIM,CLTC,CNTN1,TUBB2B,NDUFC2,HIST2H2AA1,HNRNPA2B1,DMTN,AP2A1,TUBB5"
"GO:BP","ribose phosphate metabolic process","GO:0019693","0.0000022857034277348","5.640980120420984","372","96","13","25907","ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ATP1B1,NDUFB6,SLC25A12,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","cellular respiration","GO:0045333","0.000003479663792931952","5.458462715802881","245","96","11","25907","ATP5F1B,COX5A,ATP5F1A,COX4I1,COX6A1,NDUFB6,ATP5ME,NDUFC2,ATP5MF,MDH2,CYC1"
"GO:BP","purine-containing compound biosynthetic process","GO:0072522","0.00000363154775744354","5.439908240182795","246","96","11","25907","ATP5F1B,ATP5F1A,MTATP8,ACAT1,NDUFB6,SLC25A12,VDAC1,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","microtubule cytoskeleton organization","GO:0000226","0.000006429203675808924","5.1918428156634935","673","96","16","25907","TUBA1C,TUBA4A,TUBB4A,TUBB3,TUBB2A,TUBA3A,MAP1A,MAP6,RAC1,TUBA8,NEFL,GAPDH,HNRNPU,CLTC,TUBB2B,TUBB5"
"GO:BP","anatomical structure development","GO:0048856","0.000006829868595599041","5.165587651919524","6280","96","50","25907","MBP,H2BC1,H2AX,MPZ,ACTA1,THY1,ACTBL2,TUBB3,SLC25A5,ATP5F1B,PLLP,ATP1A2,TUBB2A,H2AJ,COL1A1,TPM1,H1-5,MAP1A,ACTB,MAP6,NEGR1,RAC1,TUBA8,ACAT1,HNRNPD,SYN1,COL1A2,PPIA,ADD2,MYOM2,BAIAP2,SLC25A12,MATR3,HBA-A1,ATP1A3,VDAC1,NEFL,CNP,YWHAZ,HNRNPU,INA,MACROH2A2,VIM,YWHAG,CNTN1,TUBB2B,DMTN,AP2A1,TUBB5,HSPG2"
"GO:BP","energy derivation by oxidation of organic compounds","GO:0015980","0.000011647613379522432","4.933763053375015","347","96","12","25907","ATP5F1B,COX5A,ATP5F1A,COX4I1,COX6A1,NDUFB6,SLC25A12,ATP5ME,NDUFC2,ATP5MF,MDH2,CYC1"
"GO:BP","developmental process","GO:0032502","0.000015751045587794084","4.802690611529164","6873","96","52","25907","MBP,H2BC1,H2AX,MPZ,ACTA1,THY1,H1-1,ACTBL2,TUBB3,SLC25A5,ATP5F1B,PLLP,ATP1A2,TUBB2A,H2AJ,COL1A1,TUBA3A,TPM1,H1-5,MAP1A,ACTB,MAP6,NEGR1,RAC1,TUBA8,ACAT1,HNRNPD,SYN1,COL1A2,PPIA,ADD2,MYOM2,BAIAP2,SLC25A12,MATR3,HBA-A1,ATP1A3,VDAC1,NEFL,CNP,YWHAZ,HNRNPU,INA,MACROH2A2,VIM,YWHAG,CNTN1,TUBB2B,DMTN,AP2A1,TUBB5,HSPG2"
"GO:BP","purine ribonucleotide biosynthetic process","GO:0009152","0.00001581994291785567","4.800795087874058","160","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","nucleoside phosphate biosynthetic process","GO:1901293","0.00002755884401226148","4.559739003369097","299","96","11","25907","ATP5F1B,ATP5F1A,MTATP8,ACAT1,NDUFB6,SLC25A12,VDAC1,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","ribonucleotide biosynthetic process","GO:0009260","0.00003454644091696951","4.461596688369059","175","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","multicellular organism development","GO:0007275","0.000039488931822798425","4.403524613787857","4907","96","42","25907","MBP,H2AX,MPZ,THY1,ACTBL2,TUBB3,ATP5F1B,PLLP,ATP1A2,TUBB2A,H2AJ,COL1A1,TPM1,MAP1A,ACTB,MAP6,NEGR1,RAC1,ACAT1,HNRNPD,SYN1,COL1A2,PPIA,ADD2,MYOM2,BAIAP2,SLC25A12,MATR3,HBA-A1,ATP1A3,NEFL,CNP,YWHAZ,HNRNPU,INA,MACROH2A2,VIM,YWHAG,CNTN1,TUBB2B,AP2A1,HSPG2"
"GO:BP","ribose phosphate biosynthetic process","GO:0046390","0.00004410611895327199","4.355501155582123","180","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","axonogenesis","GO:0007409","0.00005003003475346042","4.300769195432984","482","96","13","25907","MBP,THY1,ACTBL2,TUBB3,MAP1A,ACTB,MAP6,RAC1,NEFL,CNP,VIM,CNTN1,TUBB2B"
"GO:BP","protein-DNA complex assembly","GO:0065004","0.0000559031704541136","4.252563561135378","185","96","9","25907","H2BC1,H4C1,H1-2,H1-4,H1-1,H3F4,H1-5,MACROH2A2,HIST2H2AA1"
"GO:BP","organophosphate biosynthetic process","GO:0090407","0.00006351150181373227","4.197147617670226","586","96","14","25907","CKB,ATP5F1B,ATP5F1A,MTATP8,ACAT1,NDUFB6,SLC25A12,VDAC1,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF,MDH2"
"GO:BP","purine nucleotide biosynthetic process","GO:0006164","0.00007362657465199189","4.132965403846838","191","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","neuron projection morphogenesis","GO:0048812","0.00009184943889091578","4.036923492459135","706","96","15","25907","MBP,THY1,ACTBL2,TUBB3,MAP1A,ACTB,MAP6,NEGR1,RAC1,BAIAP2,NEFL,CNP,VIM,CNTN1,TUBB2B"
"GO:BP","organophosphate metabolic process","GO:0019637","0.0000920373056549911","4.036036103565944","1047","96","18","25907","CKB,ATP5F1B,ATP1A2,ALDOA,ATP5F1A,MTATP8,ACAT1,ATP1B1,NDUFB6,SLC25A12,VDAC1,CNP,ATP5ME,GAPDH,ATP5MG,NDUFC2,ATP5MF,MDH2"
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","0.00012076754581028418","3.9180497591684365","721","96","15","25907","MBP,THY1,ACTBL2,TUBB3,MAP1A,ACTB,MAP6,NEGR1,RAC1,BAIAP2,NEFL,CNP,VIM,CNTN1,TUBB2B"
"GO:BP","cell projection morphogenesis","GO:0048858","0.0001369086697017006","3.86356904942342","728","96","15","25907","MBP,THY1,ACTBL2,TUBB3,MAP1A,ACTB,MAP6,NEGR1,RAC1,BAIAP2,NEFL,CNP,VIM,CNTN1,TUBB2B"
"GO:BP","protein-DNA complex organization","GO:0071824","0.00014090938465824226","3.851060081627593","206","96","9","25907","H2BC1,H4C1,H1-2,H1-4,H1-1,H3F4,H1-5,MACROH2A2,HIST2H2AA1"
"GO:BP","multicellular organismal process","GO:0032501","0.00014652479733162827","3.834088870648042","8499","96","57","25907","MBP,H2AX,MPZ,ACTA1,THY1,MYH4,ACTBL2,MYH1,TUBB3,SLC25A5,ATP5F1B,PLLP,ATP1A2,TUBB2A,H2AJ,COL1A1,TUBA3A,TPM1,ATP1A1,MAP1A,ACTB,MAP6,GNAO1,NEGR1,RAC1,ACAT1,HNRNPD,ATP1B1,SYN1,MYH13,COL1A2,MYL1,PPIA,ADD2,MYOM2,BAIAP2,SLC25A12,MATR3,HBA-A1,ATP1A3,VDAC1,NEFL,CNP,GAPDH,YWHAZ,HNRNPU,INA,MACROH2A2,VAMP2,VIM,YWHAG,CLTC,CNTN1,TUBB2B,DMTN,AP2A1,HSPG2"
"GO:BP","phosphate-containing compound metabolic process","GO:0006796","0.00017594341388649256","3.7546269855283523","2232","96","26","25907","THY1,CKB,ATP5F1B,ATP1A2,ALDOA,ATP5F1A,ACTB,MTATP8,RAC1,ACAT1,ATP1B1,PPIA,NDUFB6,SLC25A12,VDAC1,CNP,ATP5ME,GAPDH,YWHAZ,HNRNPU,ATP5MG,CNTN1,NDUFC2,ATP5MF,DMTN,MDH2"
"GO:BP","phosphorus metabolic process","GO:0006793","0.0001807032103281814","3.7430341318030447","2235","96","26","25907","THY1,CKB,ATP5F1B,ATP1A2,ALDOA,ATP5F1A,ACTB,MTATP8,RAC1,ACAT1,ATP1B1,PPIA,NDUFB6,SLC25A12,VDAC1,CNP,ATP5ME,GAPDH,YWHAZ,HNRNPU,ATP5MG,CNTN1,NDUFC2,ATP5MF,DMTN,MDH2"
"GO:BP","cell morphogenesis involved in neuron differentiation","GO:0048667","0.00022723288720135403","3.6435288133815273","650","96","14","25907","MBP,THY1,ACTBL2,TUBB3,MAP1A,ACTB,MAP6,RAC1,BAIAP2,NEFL,CNP,VIM,CNTN1,TUBB2B"
"GO:BP","proton motive force-driven mitochondrial ATP synthesis","GO:0042776","0.00023451587328056253","3.6298277565955828","63","96","6","25907","ATP5F1B,ATP5F1A,NDUFB6,ATP5ME,NDUFC2,ATP5MF"
"GO:BP","axon development","GO:0061564","0.00024121023956942628","3.617604259989148","552","96","13","25907","MBP,THY1,ACTBL2,TUBB3,MAP1A,ACTB,MAP6,RAC1,NEFL,CNP,VIM,CNTN1,TUBB2B"
"GO:BP","transmembrane transport","GO:0055085","0.00026305290934375974","3.57995689057865","1525","96","21","25907","THY1,SLC25A5,ATP5F1B,PLLP,ATP1A2,COX5A,ATP5F1A,ATP1A1,MTATP8,ATP1B1,SLC25A12,ATP1A3,VDAC1,ATP5ME,SFXN3,GNB2,VAMP2,SLC25A3,ATP5MG,ATP5MF,CYC1"
"GO:BP","establishment or maintenance of transmembrane electrochemical gradient","GO:0010248","0.00031895205319823966","3.4962745978095056","14","96","4","25907","ATP1A2,ATP1A1,ATP1B1,ATP1A3"
"GO:BP","nucleotide biosynthetic process","GO:0009165","0.0003342897769641098","3.475876904520092","228","96","9","25907","ATP5F1B,ATP5F1A,MTATP8,NDUFB6,SLC25A12,ATP5ME,ATP5MG,NDUFC2,ATP5MF"
"GO:BP","aerobic electron transport chain","GO:0019646","0.00034036944149854956","3.4680494379655125","67","96","6","25907","COX5A,COX4I1,COX6A1,NDUFB6,NDUFC2,CYC1"
"GO:BP","regulation of biological quality","GO:0065008","0.0004066926505028263","3.3907336758248388","3180","96","31","25907","SLC25A5,ATP5F1B,ATP1A2,TPM1,ATP1A1,H1-5,MAP1A,GNAO1,NEGR1,RAC1,HNRNPD,ATP1B1,SYN1,COL1A2,PPIA,ADD2,BAIAP2,SPTAN1,ATP1A3,NEFL,CNP,GAPDH,YWHAZ,HNRNPU,VAMP2,VIM,YWHAG,NDUFC2,DMTN,AP2A1,TUBB5"
"GO:BP","intracellular potassium ion homeostasis","GO:0030007","0.00043369988289318235","3.3628106951185925","15","96","4","25907","ATP1A2,ATP1A1,ATP1B1,ATP1A3"
"GO:BP","muscle contraction","GO:0006936","0.00046524044507971864","3.3323225374701986","312","96","10","25907","MYH4,MYH1,ATP1A2,TPM1,ATP1A1,ATP1B1,MYH13,MYL1,MYOM2,ATP1A3"
"GO:BP","cell morphogenesis","GO:0000902","0.000554325398870536","3.2562352218285944","1053","96","17","25907","MBP,THY1,ACTBL2,TUBB3,TPM1,MAP1A,ACTB,MAP6,NEGR1,RAC1,BAIAP2,NEFL,CNP,VIM,CNTN1,TUBB2B,DMTN"
