source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:CC,intracellular anatomical structure,GO:0005622,2.62E-15,14.58240683,17451,96,96,26207,"ACTA1,TUBA1C,TUBB3,TUBA8,HBB-BS,ACTB,ACTBL2,GAPDH,TUBB4A,TUBB2A,TUBB5,TUBA4A,CKB,TUBA3A,HBA-A1,YWHAZ,YWHAG,DPYSL2,TUBB6,MDH1,ENO1,HSP90AB1,HSPA8,ALDOA,ENO2,CALML3,TUBB4B,TPI1,EEF1A1,PGAM1,YWHAE,CFL1,LDHB,VSNL1,TNNC2,GOT1,STMN1,UCHL1,PEBP1,PKM,PGK1,LDHA,ARF5,SNCB,CAMK2A,GLUL,PPIA,GPI,HSP90AA1,ARHGDIA,MIF,UQCRC2,PPP3CA,SNCA,DNM1,ALB,NME1,EEF1A2,YWHAH,PFN2,GDI1,CLTC,ALDOC,ATP6V1B2,GSTM5,MAP2,PCP4,PRDX2,CRMP1,ATP6V1A,GSTM1,VAMP2,RAB3A,YWHAB,FKBP1A,EIF4A2,PURA,PFN1,PPP3R1,YWHAQ,GSTP1,SH3GL2,ATP5F1B,HINT1,CALB1,PRDX5,RAN,ACOT7,CA2,GDI2,FSCN1,NCDN,PRDX6,RAB15,RPLP2,SYP"
GO:CC,cell body,GO:0044297,4.98E-15,14.30239295,833,96,26,26207,"ACTA1,TUBB3,TUBB4A,TUBB5,CKB,DPYSL2,HSP90AB1,HSPA8,ENO2,CFL1,UCHL1,PEBP1,SNCB,CAMK2A,GLUL,HSP90AA1,SNCA,EEF1A2,GDI1,MAP2,CRMP1,PURA,SH3GL2,CALB1,ACOT7,NCDN"
GO:CC,presynapse,GO:0098793,5.60E-15,14.2520754,837,96,26,26207,"ACTB,YWHAG,DPYSL2,HSPA8,GOT1,PEBP1,SNCB,CAMK2A,GLUL,SNCA,DNM1,YWHAH,PFN2,GDI1,CLTC,ATP6V1B2,CRMP1,ATP6V1A,VAMP2,RAB3A,FKBP1A,PFN1,SH3GL2,CALB1,RPLP2,SYP"
GO:CC,neuronal cell body,GO:0043025,5.41E-14,13.26713646,746,96,24,26207,"TUBB3,TUBB4A,CKB,DPYSL2,HSP90AB1,HSPA8,ENO2,CFL1,UCHL1,PEBP1,SNCB,CAMK2A,GLUL,HSP90AA1,SNCA,EEF1A2,GDI1,MAP2,CRMP1,PURA,SH3GL2,CALB1,ACOT7,NCDN"
GO:CC,somatodendritic compartment,GO:0036477,6.03E-12,11.21990659,1123,96,26,26207,"TUBB3,TUBB4A,CKB,DPYSL2,HSP90AB1,HSPA8,ENO2,CFL1,UCHL1,PEBP1,SNCB,CAMK2A,GLUL,HSP90AA1,PPP3CA,SNCA,EEF1A2,GDI1,MAP2,CRMP1,PURA,SH3GL2,CALB1,ACOT7,FSCN1,NCDN"
GO:CC,neuron projection terminus,GO:0044306,1.00E-11,10.99938091,210,96,14,26207,"ACTB,DPYSL2,HSPA8,GOT1,UCHL1,PEBP1,SNCB,GLUL,SNCA,VAMP2,RAB3A,FKBP1A,CALB1,SYP"
GO:CC,supramolecular fiber,GO:0099512,1.37E-11,10.86468105,1059,96,25,26207,"ACTA1,TUBA1C,TUBB3,TUBA8,ACTB,ACTBL2,TUBB4A,TUBB2A,TUBB5,TUBA4A,TUBA3A,DPYSL2,TUBB6,HSPA8,ALDOA,TUBB4B,TNNC2,STMN1,PPP3CA,SNCA,DNM1,NME1,CLTC,MAP2,PCP4"
GO:CC,supramolecular polymer,GO:0099081,1.58E-11,10.80054235,1066,96,25,26207,"ACTA1,TUBA1C,TUBB3,TUBA8,ACTB,ACTBL2,TUBB4A,TUBB2A,TUBB5,TUBA4A,TUBA3A,DPYSL2,TUBB6,HSPA8,ALDOA,TUBB4B,TNNC2,STMN1,PPP3CA,SNCA,DNM1,NME1,CLTC,MAP2,PCP4"
GO:CC,postsynapse,GO:0098794,3.19E-10,9.49628305,1005,96,23,26207,"ACTB,GAPDH,YWHAZ,DPYSL2,HSPA8,CFL1,CAMK2A,PPP3CA,SNCA,PFN2,CLTC,ALDOC,MAP2,CRMP1,RAB3A,PURA,PFN1,PPP3R1,SH3GL2,CALB1,NCDN,RPLP2,SYP"
GO:CC,glutamatergic synapse,GO:0098978,3.34E-10,9.4760075,809,96,21,26207,"ACTB,ACTBL2,GAPDH,YWHAZ,HSPA8,YWHAE,CFL1,CAMK2A,PPP3CA,DNM1,YWHAH,PFN2,CLTC,MAP2,VAMP2,PURA,PFN1,PPP3R1,SH3GL2,CALB1,NCDN"
