"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"HP","Motor delay","HP:0001270","0.004775713282359027","2.3209617546649395","1056","57","27","5228","ACTA1,TUBB4A,MTCO2,ACTB,TUBB3,CAMK2A,PLP1,ATP1A1,SYT1,STXBP1,SNAP25,TUBB5,SPTAN1,HK1,SPTBN1,RAC1,SPTBN2,ATP5F1A,ATP1A3,ATP6V0A1,CAMK2B,GRIN1,MTATP8,SLC1A3,SYNGAP1,GRIN2B,SLC25A12"
"HP","Focal motor seizure","HP:0011153","0.0050219326951496494","2.2991291120772948","116","57","9","5228","ATP1A2,GNAO1,STXBP1,SLC25A22,ATP1A3,GRIN1,SLC1A2,YWHAG,SLC1A3"
"HP","Abnormal volitional state","HP:0025780","0.005063463910349004","2.2955522810913416","1200","57","29","5228","MTCO2,TUBB3,ATP1A2,GNAO1,PLP1,ATP1A1,MOG,SYT1,STXBP1,SYN1,SLC25A4,CLTC,SPTAN1,SLC25A22,SPTBN1,RAC1,ATP5F1A,ATP1A3,ATP6V0A1,CAMK2B,UQCRQ,GRIN1,SLC1A2,SYN2,YWHAG,GNB2,MTATP8,SLC1A3,SYNGAP1"
"HP","Abnormal morphology of the musculature of the neck","HP:0011006","0.005160222691840334","2.287331555785477","87","57","8","5228","ACTA1,TUBB4A,TUBB3,CNP,HK1,SPTBN1,ATP1A3,SYNGAP1"
"HP","Abnormal esophagus physiology","HP:0025270","0.005545806522500049","2.256035285799683","929","57","25","5228","ACTA1,TUBB4A,ACTB,ATP1A2,GNAO1,PLP1,SYT1,STXBP1,SLC25A4,SNAP25,CLTC,SPTAN1,SLC25A22,ATP5F1A,ATP1A3,ATP6V0A1,CAMK2B,GRIN1,SLC1A2,YWHAG,GNB2,MTATP8,SLC1A3,SYNGAP1,TUBB6"
"HP","EEG with spike-wave complexes","HP:0010850","0.006132727552266511","2.2123463285092253","89","57","8","5228","GNAO1,SYT1,SNAP25,SPTAN1,SLC25A22,GRIN1,YWHAG,SYNGAP1"
"HP","EEG with abnormally slow frequencies","HP:0011203","0.006132727552266511","2.2123463285092253","89","57","8","5228","ATP1A2,PLP1,STXBP1,CLTC,ATP1A3,SLC1A2,YWHAG,SYNGAP1"
"HP","Abnormal myelination","HP:0012447","0.0065127533985995","2.1862353658079585","627","57","20","5228","TUBB4A,MTCO2,ATP1A2,GNAO1,PLP1,SYT1,STXBP1,CLTC,SPTAN1,HK1,SLC25A22,SPTBN1,ATP1A3,GRIN1,SLC1A2,YWHAG,GNB2,SYNGAP1,HNRNPU,SLC25A12"
"HP","Episodic hemiplegia","HP:0012194","0.006970286400956159","2.1567493768805455","4","57","3","5228","ATP1A2,ATP1A3,SLC1A3"
"HP","Seizure","HP:0001250","0.007682635826017888","2.1144897528459263","2032","57","39","5228","TUBB4A,MTCO2,TUBA8,ACTB,TUBB3,ATP1A2,CAMK2A,GNAO1,PLP1,TUBB2A,ATP1A1,STXBP1,SYN1,SLC25A4,COX4I1,SNAP25,CLTC,SPTAN1,HK1,SLC25A22,SPTBN1,RAC1,DLG4,ATP5F1A,ATP1A3,VAMP2,ATP6V0A1,MYO5A,CAMK2B,GRIN1,SLC1A2,YWHAG,GNB2,MTATP8,SLC1A3,SYNGAP1,GRIN2B,HNRNPU,SLC25A12"
"HP","Abnormal central motor function","HP:0011442","0.008958122212303287","2.0477830169340985","2043","57","39","5228","ACTA1,TUBB4A,MTCO2,ACTB,TUBB3,ATP1A2,CAMK2A,GNAO1,PLP1,CNP,MOG,SYT1,STXBP1,SLC25A4,COX4I1,SNAP25,CLTC,TUBB5,SPTAN1,HK1,SLC25A22,SPTBN1,SPTBN2,ATP5F1A,ATP1A3,VAMP2,ATP6V0A1,MYO5A,CAMK2B,UQCRQ,GRIN1,SLC1A2,YWHAG,MTATP8,SLC1A3,SYNGAP1,GRIN2B,HNRNPU,SLC25A12"
"HP","Non-motor seizure","HP:0033259","0.009026162705737115","2.0444968421468146","196","57","11","5228","TUBB3,ATP1A2,CAMK2A,GNAO1,SPTAN1,SLC25A22,ATP1A3,GRIN1,YWHAG,SYNGAP1,HNRNPU"
"HP","Abnormal cerebellum morphology","HP:0001317","0.011926350938071456","1.9234924154979494","1036","57","26","5228","TUBB4A,TUBB3,ATP1A2,GNAO1,PLP1,CNP,TUBB2A,STXBP1,SLC25A4,COX4I1,CLTC,TUBB5,SPTAN1,HK1,SLC25A22,RAC1,SPTBN2,DLG4,ATP5F1A,ATP1A3,ATP6V0A1,MYO5A,CAMK2B,GRIN1,MTATP8,SLC1A3"
"HP","Gait disturbance","HP:0001288","0.012248266656097727","1.911925367214173","1251","57","29","5228","ACTA1,TUBB4A,MTCO2,ACTB,TUBB3,ATP1A2,CAMK2A,GNAO1,PLP1,ATP1A1,SYT1,STXBP1,SLC25A4,SNAP25,CLTC,SPTAN1,HK1,SLC25A22,SPTBN1,SPTBN2,ATP1A3,VAMP2,CAMK2B,UQCRQ,GRIN1,SLC1A2,YWHAG,GNB2,SYNGAP1"
"HP","Abnormal hindbrain morphology","HP:0011282","0.013559772339047819","1.8677476019678694","1043","57","26","5228","TUBB4A,TUBB3,ATP1A2,GNAO1,PLP1,CNP,TUBB2A,STXBP1,SLC25A4,COX4I1,CLTC,TUBB5,SPTAN1,HK1,SLC25A22,RAC1,SPTBN2,DLG4,ATP5F1A,ATP1A3,ATP6V0A1,MYO5A,CAMK2B,GRIN1,MTATP8,SLC1A3"
"HP","Abnormal metencephalon morphology","HP:0011283","0.013559772339047819","1.8677476019678694","1043","57","26","5228","TUBB4A,TUBB3,ATP1A2,GNAO1,PLP1,CNP,TUBB2A,STXBP1,SLC25A4,COX4I1,CLTC,TUBB5,SPTAN1,HK1,SLC25A22,RAC1,SPTBN2,DLG4,ATP5F1A,ATP1A3,ATP6V0A1,MYO5A,CAMK2B,GRIN1,MTATP8,SLC1A3"
"HP","Rigidity","HP:0002063","0.013903393920811668","1.8568791723240698","205","57","11","5228","ACTA1,TUBB4A,ATP1A2,SLC25A4,CLTC,ATP1A3,MYO5A,SLC1A2,YWHAG,SLC1A3,SYNGAP1"
"HP","Abnormal reflex","HP:0031826","0.01398823230063877","1.8542371640345223","1186","57","28","5228","ACTA1,TUBA8,TUBB3,ATP1A2,GNAO1,PLP1,CNP,ATP1A1,SLC25A4,COX4I1,SNAP25,CLTC,SPTAN1,CNTN1,HK1,SLC25A22,SPTBN1,SPTBN2,ATP1A3,UQCRQ,GRIN1,SLC1A2,YWHAG,GNB2,MTATP8,SLC1A3,SYNGAP1,SLC25A12"
"HP","Global developmental delay","HP:0001263","0.015764868431009493","1.8023096493959372","1995","57","38","5228","ACTA1,MTCO2,TUBA8,ACTB,TUBB3,ATP1A2,CAMK2A,GNAO1,PLP1,TUBB2A,ATP1A1,SYT1,STXBP1,ATP5F1B,SNAP25,CLTC,TUBB5,CNTN1,HK1,SLC25A22,SPTBN1,RAC1,SPTBN2,ATP5F1A,ATP1A3,VAMP2,ATP6V0A1,MYO5A,CAMK2B,UQCRQ,GRIN1,SLC1A2,YWHAG,GNB2,SYNGAP1,GRIN2B,HNRNPU,SLC25A12"
"HP","Disinhibition","HP:0000734","0.01667188469592716","1.7780153019851603","727","57","21","5228","TUBB3,ATP1A2,GNAO1,ATP1A1,MOG,STXBP1,SYN1,CLTC,SPTAN1,SLC25A22,SPTBN1,RAC1,ATP1A3,ATP6V0A1,CAMK2B,GRIN1,SLC1A2,YWHAG,GNB2,SLC1A3,SYNGAP1"
"HP","Generalized non-motor (absence) seizure","HP:0002121","0.018487625445684948","1.7331188661291193","172","57","10","5228","TUBB3,CAMK2A,GNAO1,SPTAN1,SLC25A22,ATP1A3,GRIN1,YWHAG,SYNGAP1,HNRNPU"
"HP","Myoclonic seizure","HP:0032794","0.019838488617036618","1.702491417377584","255","57","12","5228","CAMK2A,GNAO1,STXBP1,SPTAN1,SLC25A22,ATP5F1A,GRIN1,SLC1A2,YWHAG,MTATP8,SYNGAP1,GRIN2B"
"HP","Aplasia/Hypoplasia involving the central nervous system","HP:0002977","0.0200708492560205","1.6974342508607834","1925","57","37","5228","TUBB4A,MTCO2,TUBA8,ACTB,TUBB3,ATP1A2,CAMK2A,GNAO1,PLP1,CNP,TUBB2A,ATP1A1,STXBP1,COX4I1,CLTC,TUBB5,SPTAN1,HK1,SLC25A22,SPTBN1,RAC1,SPTBN2,ATP5F1A,ATP1A3,VAMP2,ATP6V0A1,MYO5A,CAMK2B,GRIN1,SLC1A2,YWHAG,MTATP8,SLC1A3,SYNGAP1,GRIN2B,HNRNPU,SLC25A12"
"HP","Chorea","HP:0002072","0.020643377323006428","1.6852192492562597","256","57","12","5228","TUBB4A,ATP1A2,GNAO1,PLP1,SYT1,STXBP1,SLC25A22,ATP1A3,VAMP2,GRIN1,SLC1A3,GRIN2B"
"HP","Cerebral palsy","HP:0100021","0.023796690948893452","1.6234834296052316","177","57","10","5228","TUBB3,CNP,SYT1,STXBP1,SPTAN1,SPTBN1,ATP5F1A,ATP6V0A1,CAMK2B,GRIN1"
"HP","Focal dystonia","HP:0004373","0.024981296676945857","1.6023850229263745","141","57","9","5228","ACTA1,TUBB4A,TUBB3,PLP1,CNP,HK1,SPTBN1,ATP1A3,SYNGAP1"
"HP","Neurodevelopmental abnormality","HP:0012759","0.026154809902995353","1.582448432141235","2916","57","47","5228","ACTA1,TUBB4A,MTCO2,TUBA8,ACTB,TUBB3,ATP1A2,CAMK2A,GNAO1,PLP1,CNP,TUBB2A,ATP1A1,SYT1,STXBP1,SYN1,ATP5F1B,SLC25A4,COX4I1,SNAP25,CLTC,TUBB5,SPTAN1,CNTN1,HK1,SLC25A22,SPTBN1,RAC1,SPTBN2,DLG4,ATP5F1A,ATP1A3,VAMP2,ATP6V0A1,MYO5A,CAMK2B,UQCRQ,GRIN1,SLC1A2,YWHAG,GNB2,MTATP8,SLC1A3,SYNGAP1,GRIN2B,HNRNPU,SLC25A12"
