"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:CC","intracellular membrane-bounded organelle","GO:0043231","0.0057361908822084005","2.241376405159211","14426","98","74","26207","ATP1A2,HSP90AB1,ACO2,SNAP91,DNM1,SYN1,ATP1A3,SLC1A3,ATP1A1,HSP90AA1,AMPH,MAP6,DNM3,AP2B1,NSF,DPYSL2,SLC25A5,CANX,AAK1,ATP2B2,AP2A1,ATP2B4,HSP90B1,RTN1,AKAP5,ADD1,SLC25A4,HSPA4,ACTN4,HSPA8,ADD2,TUBA1C,OXR1,UBA1,VCP,SLC3A2,SLC25A3,HK1,ATP5F1B,LETM1,RPS27A,SV2A,NDUFS1,HNRNPU,ATP2B1,USP5,H2AX,H4C1,RPH3A,DNAJC6,H2BC1,KRT18,RTN3,SLC17A7,CAND1,IMMT,HSPH1,CSPG5,VPS35,AP1B1,AP3B2,ATP2A2,ACTB,PRKCG,BIN1,EZR,ATP6V0C,OGDHL,AP2A2,MATR3,OGDH,SLC17A6,SLC2A3,SV2B"
"GO:CC","clathrin coat of coated pit","GO:0030132","0.007251116392857581","2.1395951236452593","16","98","3","26207","AP2B1,AP2A1,AP2A2"
"GO:CC","cytosol","GO:0005829","0.009524084629864094","2.021176754161773","4001","98","31","26207","HSP90AB1,ACO2,HSP90AA1,NCAM1,NSF,DPYSL2,AAK1,HSP90B1,DBN1,AKAP5,HSPA4,HSPA8,EPB41L3,UBA1,VCP,HK1,RPS27A,HNRNPU,USP5,CRMP1,RPH3A,KRT18,CAND1,HSPH1,VPS35,AP1B1,ACTB,PRKCG,BIN1,EZR,PFKP"
"GO:CC","apical plasma membrane","GO:0016324","0.009950238127822086","2.0021665256500913","435","98","9","26207","HSP90AB1,ATP1A1,HSP90AA1,ATP2B2,AP2A1,ATP1B1,SLC3A2,ATP2B1,EZR"
"GO:CC","caveola","GO:0005901","0.01143350260009794","1.9418207051365695","103","98","5","26207","ATP1A2,ATP1A1,ATP1B1,HK1,SLC2A3"
"GO:CC","dendritic spine membrane","GO:0032591","0.012445167954439432","1.9049992379710923","19","98","3","26207","ATP2B2,AKAP5,ATP2B1"
"GO:CC","postsynaptic actin cytoskeleton","GO:0098871","0.012445167954439432","1.9049992379710923","19","98","3","26207","DBN1,ACTN4,ACTB"
"GO:CC","transmembrane transporter complex","GO:1902495","0.016908682000238567","1.7718902435159016","466","98","9","26207","ATP1A2,ATP1A3,ATP1A1,ATP1B1,ATP5F1B,NDUFS1,SLC17A7,ATP6V0C,SLC17A6"
"GO:CC","filopodium","GO:0030175","0.01706304672733935","1.7679434199016124","112","98","5","26207","AP2A1,DBN1,AKAP5,ACTA1,EZR"
"GO:CC","microtubule","GO:0005874","0.018645323033318943","1.7294300880134492","472","98","9","26207","DNM1,MAP6,DNM3,DPYSL2,HSPA8,TUBA1C,HNRNPU,HSPH1,BIN1"
"GO:CC","vesicle coat","GO:0030120","0.01890513415016465","1.723420236552197","59","98","4","26207","AP2B1,AP2A1,AP1B1,AP2A2"
"GO:CC","intracellular membraneless organelle","GO:0043232","0.019022685977564444","1.7207281612747145","6515","98","42","26207","HSP90AB1,DNM1,SYN1,KRT71,AMPH,MAP6,DNM3,DPYSL2,SLC25A5,CANX,KRT5,ATP2B4,DBN1,AKAP5,ADD1,ACTN4,HSPA8,ADD2,TUBA1C,EPB41L3,OXR1,NEFM,UBA1,VCP,ATP5F1B,RPS27A,KRT10,EPB41L1,HNRNPU,KRT78,ACTA1,ACTBL2,CRMP1,H2AX,H4C1,H2BC1,KRT18,HSPH1,KRT79,ACTB,BIN1,EZR"
"GO:CC","membraneless organelle","GO:0043228","0.01909434313148723","1.7190952772894728","6516","98","42","26207","HSP90AB1,DNM1,SYN1,KRT71,AMPH,MAP6,DNM3,DPYSL2,SLC25A5,CANX,KRT5,ATP2B4,DBN1,AKAP5,ADD1,ACTN4,HSPA8,ADD2,TUBA1C,EPB41L3,OXR1,NEFM,UBA1,VCP,ATP5F1B,RPS27A,KRT10,EPB41L1,HNRNPU,KRT78,ACTA1,ACTBL2,CRMP1,H2AX,H4C1,H2BC1,KRT18,HSPH1,KRT79,ACTB,BIN1,EZR"
