"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","Cellular responses to stress","REAC:R-MMU-2262752","2.159843518034372e-7","6.665577712606464","499","67","20","8469","H2BC1,H1-4,H2AX,H1-2,H1-5,H2BC21,H1-1,H4C1,H1-0,H3F4,H2BC3,CYCS,H2AJ,CAMK2A,TUBB3,RPS27A,TUBA3A,HSPA8,EEF1A1,HIST2H2AA1"
"REAC","Cellular responses to stimuli","REAC:R-MMU-8953897","2.3173955452015166e-7","6.634999832227673","501","67","20","8469","H2BC1,H1-4,H2AX,H1-2,H1-5,H2BC21,H1-1,H4C1,H1-0,H3F4,H2BC3,CYCS,H2AJ,CAMK2A,TUBB3,RPS27A,TUBA3A,HSPA8,EEF1A1,HIST2H2AA1"
"REAC","Formation of the cornified envelope","REAC:R-MMU-6809371","0.000003316571278853597","5.479310664525671","81","67","9","8469","KRT71,KRT18,KRT19,KRT76,KRT6A,KRT5,KRT1,KRT17,KRT78"
"REAC","Recognition and association of DNA glycosylase with site containing an affected purine","REAC:R-MMU-110330","0.000004599253362802242","5.3373126654344185","59","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Inhibition of DNA recombination at telomere","REAC:R-MMU-9670095","0.0000052738938617109055","5.277868614727853","60","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Apoptosis induced DNA fragmentation","REAC:R-MMU-140342","0.000005773669301423437","5.238548094837006","12","67","5","8469","H1-4,H1-2,H1-5,H1-1,H1-0"
"REAC","Cleavage of the damaged purine","REAC:R-MMU-110331","0.00000603227917204382","5.219518567656759","61","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Depurination","REAC:R-MMU-73927","0.00000603227917204382","5.219518567656759","61","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Base-Excision Repair, AP Site Formation","REAC:R-MMU-73929","0.000012870683221136318","4.8903983986050275","67","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Apoptotic execution phase","REAC:R-MMU-75153","0.00001686914816013015","4.772906847386893","46","67","7","8469","H1-4,H1-2,H1-5,H1-1,H1-0,MAPT,SORBS2"
"REAC","Formation of Senescence-Associated Heterochromatin Foci (SAHF)","REAC:R-MMU-2559584","0.000031072733979357764","4.507620533036891","16","67","5","8469","H1-4,H1-2,H1-5,H1-1,H1-0"
"REAC","Condensation of Prophase Chromosomes","REAC:R-MMU-2299718","0.00003518052968928798","4.453697625952944","76","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Deposition of new CENPA-containing nucleosomes at the centromere","REAC:R-MMU-606279","0.00003901567583444231","4.408760865779668","77","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H2BC3,H2AJ,NPM1,HIST2H2AA1"
"REAC","Nucleosome assembly","REAC:R-MMU-774815","0.00003901567583444231","4.408760865779668","77","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H2BC3,H2AJ,NPM1,HIST2H2AA1"
"REAC","Base Excision Repair","REAC:R-MMU-73884","0.00010180312715489064","3.9922388812796736","87","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Chromosome Maintenance","REAC:R-MMU-73886","0.00013809297118778035","3.859828426070512","124","67","9","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,NPM1,HIST2H2AA1"
"REAC","Developmental Biology","REAC:R-MMU-1266738","0.00023429067264336354","3.630245000776279","487","67","16","8469","ACTB,KRT71,KRT18,KRT19,KRT76,TUBB3,KRT6A,KRT5,RPS27A,TUBA3A,KRT1,KRT17,COL4A2,SPTBN1,KRT78,SPTBN2"
"REAC","Programmed Cell Death","REAC:R-MMU-5357801","0.00023492714346584945","3.629066801969075","132","67","9","8469","H1-4,H1-2,H1-5,H1-1,H1-0,CYCS,MAPT,RPS27A,SORBS2"
"REAC","Telomere Maintenance","REAC:R-MMU-157579","0.0002560045418975963","3.591752329596097","98","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Apoptosis","REAC:R-MMU-109581","0.00029897954370734976","3.5243585252506087","100","67","8","8469","H1-4,H1-2,H1-5,H1-1,H1-0,CYCS,MAPT,SORBS2"
"REAC","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks","REAC:R-MMU-5693565","0.0003949047811472711","3.4035076081897477","72","67","7","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,RPS27A"
"REAC","DNA Double Strand Break Response","REAC:R-MMU-5693606","0.000476455258017529","3.32197787594574","74","67","7","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,RPS27A"
"REAC","Epigenetic regulation of gene expression","REAC:R-MMU-212165","0.0004885458376445615","3.3110946825036893","144","67","9","8469","H2BC1,H2AX,H2BC21,ACTB,H4C1,H2BC3,H2AJ,PSIP1,HIST2H2AA1"
"REAC","PRC2 methylates histones and DNA","REAC:R-MMU-212300","0.0006822692974305737","3.1660441718191645","78","67","7","8469","H2BC1,H2AX,H2BC21,H4C1,H2BC3,H2AJ,HIST2H2AA1"
"REAC","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","REAC:R-MMU-8936459","0.0010393770210875368","2.9832268889420592","83","67","7","8469","H2BC1,H2AX,H2BC21,H4C1,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Processing of DNA double-strand break ends","REAC:R-MMU-5693607","0.0017906252752112437","2.7469952896033556","90","67","7","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,RPS27A"
"REAC","Nonhomologous End-Joining (NHEJ)","REAC:R-MMU-5693571","0.0019973454820975643","2.699546808443529","60","67","6","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3"
"REAC","Mitotic Prophase","REAC:R-MMU-68875","0.0021644713812935196","2.6646481520677203","130","67","8","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,H2AJ,HIST2H2AA1"
"REAC","Keratinization","REAC:R-MMU-6805567","0.00243850311072978","2.6128766860548156","175","67","9","8469","KRT71,KRT18,KRT19,KRT76,KRT6A,KRT5,KRT1,KRT17,KRT78"
"REAC","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","REAC:R-MMU-5693567","0.010615201302119744","1.9740717656458058","118","67","7","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,RPS27A"
"REAC","Interaction between L1 and Ankyrins","REAC:R-MMU-445095","0.010979824201030382","1.9594046133589358","9","67","3","8469","ACTB,SPTBN1,SPTBN2"
"REAC","Homology Directed Repair","REAC:R-MMU-5693538","0.012477689690314434","1.9038658191111584","121","67","7","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3,RPS27A"
"REAC","Interferon Signaling","REAC:R-MMU-913531","0.01617412597386776","1.7911791786643432","126","67","7","8469","CAMK2A,TUBB3,MAPT,RPS27A,TUBA3A,HSPA8,NPM1"
"REAC","G2/M DNA damage checkpoint","REAC:R-MMU-69473","0.017048909314705495","1.7683033992964752","87","67","6","8469","H2BC1,H2AX,H2BC21,H4C1,H3F4,H2BC3"
"REAC","HDACs deacetylate histones","REAC:R-MMU-3214815","0.020634273934141724","1.6854108081988954","90","67","6","8469","H2BC1,H2BC21,H4C1,H2BC3,H2AJ,HIST2H2AA1"
