Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
P97868,RBBP6_MOUSE,Rbbp6,E3 ubiquitin-protein ligase RBBP6,17,17,124761,259228,126728,,,619718,,,,616539,,,,587603,,825724,959138,,,699779,,7.04E+06,,,,,,,,,,929372,856677,625168,,1.09E+06,1.65E+06,124636,,,,,
Q8BX09,RBBP5_MOUSE,Rbbp5,Retinoblastoma-binding protein 5,7,7,59303.6,44139.5,,,,44583.8,22561.4,,,58200.8,,,,,18990.8,,,,47858.2,39546.3,127134,,,,,,,,,,40383.3,,,,,,,38599.8,,,,,
Q60972,RBBP4_MOUSE,Rbbp4,Histone-binding protein RBBP4,5,5,5.57E+06,5.34E+06,7.08E+06,,,745773,,41180.4,,1.76E+06,,,,1.58E+06,,607855,1.01E+06,1.65E+06,9.21E+06,5.43E+06,8.27E+06,8.65E+06,570350,6.55E+06,490572,,,4.84E+06,542030,359012,1.21E+06,3.12E+06,3.80E+06,5.11E+06,,861808,1.43E+07,2.84E+06,802696,,,,
Q9ESK9,RBCC1_MOUSE,Rb1cc1,RB1-inducible coiled-coil protein 1,8,8,,,,,,42967.8,,,,43337.3,,46382.3,,47897.3,,41524.6,46279.9,,,,,42194.8,,,,,,,,,,,,,,,,44933,10262.6,,,,
Q9CW46,RAVR1_MOUSE,Raver1,Ribonucleoprotein PTB-binding 1,17,9,,,,,181568,47050.3,,,,125568,,,,,,,,,,,127548,475789,,46786.7,,,,,,,113624,,,,,167467,146509,187996,201968,,,,
Q8BMS9,RASF2_MOUSE,Rassf2,Ras association domain-containing protein 2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219530,138893,,,,
Q61820,RANT_MOUSE,Rasl2-9,"GTP-binding nuclear protein Ran, testis-specific isoform",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77909.6,41567.8,,,,
Q3U0S6,RAIN_MOUSE,Rasip1,Ras-interacting protein 1,16,16,,59777.1,,,,328896,,,,372245,,,,267350,,384345,267209,782220,,,,365662,,194236,,,,,,,319294,,,,,1.50E+06,,,,,,,
Q9QUG9,GRP2_MOUSE,Rasgrp2,RAS guanyl-releasing protein 2,4,4,,,,,,103844,,,,99577,,,,138903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Z1S3,GRP1_MOUSE,Rasgrp1,RAS guanyl-releasing protein 1,13,13,,222038,,120481,337209,943194,168393,,361074,980842,117117,,321410,705978,76201.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P70392,RGRF2_MOUSE,Rasgrf2,Ras-specific guanine nucleotide-releasing factor 2,39,37,800328,745807,,185001,468936,1.82E+06,189608,161889,585185,1.78E+06,233947,195657,454489,897691,164636,542275,607898,,,114144,307481,,46617.6,,,,,,,,,,,,,,,,,,,,
P27671,RGRF1_MOUSE,Rasgrf1,Ras-specific guanine nucleotide-releasing factor 1,28,28,344539,422165,,,425062,945015,,,357005,871904,121939,,353309,557585,56578.4,596497,611899,479978,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0N4SVF2;A0A0N4SVR5;A6H650,A0A0N4SVF2_MOUSE;A0A0N4SVR5_MOUSE;A6H650_MOUSE,Rasgef1a,"RasGEF domain family, member 1A",5,5,,,,,,131882,,,,207541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3YUS5,D3YUS5_MOUSE,Rasal2,RAS protein activator like 2,49,48,551150,1.25E+06,222229,,527191,1.13E+06,,66356.5,359963,995624,,,305818,1.43E+06,,1.18E+06,1.36E+06,491103,,145514,141684,1.18E+06,345684,,,,,,,,70420.3,664060,407618,,,,304685,,25599.2,,,,
Q9Z268,RASL1_MOUSE,Rasal1,RasGAP-activating-like protein 1,28,28,352121,455231,512493,682306,2.71E+06,596887,679461,664489,2.46E+06,737611,749273,827957,2.48E+06,879679,728792,425388,390328,,,127959,158746,,,,,,,419907,,,,,,,,,,,,,,,
Q60790,RASA3_MOUSE,Rasa3,Ras GTPase-activating protein 3,29,29,110850,159277,,59590.1,223091,104840,,75870.1,147394,105523,,70549.5,139388,110470,,84048.2,69688.1,71459.1,,,,,94224.7,,,121734,,,,,56856.8,,,,,,,,,,,,
P58069,RASA2_MOUSE,Rasa2,Ras GTPase-activating protein 2,4,4,,,,,,43232.6,,,32348.2,42510.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9PYG6,E9PYG6_MOUSE,Rasa1,Ras GTPase-activating protein 1,20,20,,,,90044.5,472979,136208,32282.4,79909.6,537742,133049,96414.4,109385,528556,102895,71127,,,,,,,,123000,,,,,,,,114990,,,,,,,461039,149611,,,,
Q3U186,SYRM_MOUSE,Rars2,"Probable arginine--tRNA ligase, mitochondrial",22,22,154212,133252,,111379,,213373,,68175.7,,194997,,111842,,236456,,160553,175646,188952,,,,669481,,,,232196,,,,276788,,,,,,287102,,,279473,,,,
Q9D0I9,SYRC_MOUSE,Rars1,"Arginine--tRNA ligase, cytoplasmic",29,29,,96975.3,,154517,,379857,306313,176649,,293751,372200,226882,,334066,324422,79168,,211083,,,,,672194,,486106,,,,885394,538844,382038,,,,288555,273431,,1.55E+06,535179,,211812,237565,311633
Q9DD06,RARR2_MOUSE,Rarres2,Retinoic acid receptor responder protein 2,1,1,,,,,,,,,,,,,,,,,,,,,,,,157757,,,,,,,,,,,,204740,,,,,,,
F2Z3U3,F2Z3U3_MOUSE,Raph1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,30,29,2.61E+06,2.14E+06,1.46E+06,,,1.43E+06,282282,,,1.36E+06,160969,,,1.82E+06,118011,3.43E+06,4.78E+06,273684,2.50E+06,2.40E+06,2.19E+06,1.03E+06,,,,,,,,,347297,904242,558285,,,421721,,,,,,,
F2Z4B7;G5E867,F2Z4B7_MOUSE;G5E867_MOUSE,Raph1,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,5,5,,,,,,254255,,,,226980,,,,150539,,218903,207704,,,36443,,,,,,,,,,,,,,,,,,,,,,,
Q68EF8,RPGFL_MOUSE,Rapgefl1,Rap guanine nucleotide exchange factor-like 1,5,5,,,,,,74942,,,43994.7,95181.4,,,,,,91225.9,81735.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5NCJ4;Q5NCJ5,Q5NCJ4_MOUSE;Q5NCJ5_MOUSE,Rapgef6,Rap guanine nucleotide exchange factor (GEF) 6,1,1,,,,,,,,,,,,,,,,,,,,,,1.70E+06,,,,,,,,,,,,,,,,,,,,,
Q8C0Q9,RPGF5_MOUSE,Rapgef5,Rap guanine nucleotide exchange factor 5,2,2,,,,,,19543.7,,,,31682.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9EQZ6,RPGF4_MOUSE,Rapgef4,Rap guanine nucleotide exchange factor 4,44,42,3.69E+06,4.75E+06,1.55E+06,43219.4,290552,6.33E+06,,332576,139865,4.81E+06,,177235,346251,5.70E+06,,2.05E+06,3.29E+06,1.60E+06,447537,370774,856799,,,,,,,,,,,2.35E+06,1.22E+06,2.60E+06,,,,,,,,,
Q8VCC8,RPGF3_MOUSE,Rapgef3,Rap guanine nucleotide exchange factor 3,8,7,,,,,,45534.8,,,,45140.7,,,,30781.5,,,,36938.6,,,,,,,,,,,,,26054,,,,,37330.2,,,,,,,
A0A0A6YWG7,A0A0A6YWG7_MOUSE,Rapgef2,Rap guanine nucleotide exchange factor 2,50,46,963307,1.66E+06,620349,583035,564806,1.40E+06,334093,504118,323059,1.46E+06,485511,625958,249345,2.30E+06,393733,1.75E+06,1.78E+06,555301,,207641,348542,665407,,,254919,,,,,,,,,,,,,,,,,,
A1L338;Q3UHC1,A1L338_MOUSE;Q3UHC1_MOUSE,Rapgef1,CRK SH3-binding GNRP,17,17,,58699.4,,41447,420060,99612.9,,,322927,67879.5,63556.8,40870.5,241286,92762.5,,,,,,,,,,,,,,,,,73738.8,,,,,,,,,,,,
Q8BU31,RAP2C_MOUSE,Rap2c,Ras-related protein Rap-2c,3,3,,,,163742,,265366,,179371,,344565,,127664,,70508.6,,,,,,,,,,,,,,,,55085.4,,,,,,,,,182863,,,,
P61226,RAP2B_MOUSE,Rap2b,Ras-related protein Rap-2b,14,7,878432,1.04E+06,521365,2.42E+06,,1.95E+06,60780.7,2.41E+06,,2.51E+06,40736.5,2.37E+06,,1.24E+06,101771,77341.1,121493,149092,,211443,722148,,1.07E+06,,,,,,,474133,411141,,,,,,,,1.08E+06,,,,
Q80ZJ1,RAP2A_MOUSE,Rap2a,Ras-related protein Rap-2a,8,7,,290795,,1.25E+06,,1.82E+06,,1.06E+06,,1.82E+06,,1.09E+06,,1.44E+06,,,,,,99215.5,282290,,539426,,,,,178859,,,338072,,,,,,,,128974,,,,
A0A0G2JGC8,A0A0G2JGC8_MOUSE,Rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1",1,1,,,,83809.7,,,88803.4,87864.8,,,196619,63665.7,,,76987.7,,,,,,,,56450.6,,,,,,,,,,,,,,,,,,,,
E9Q912,GDS1_MOUSE,Rap1gds1,Rap1 GTPase-GDP dissociation stimulator 1,32,32,1.23E+06,1.69E+06,975616,1.94E+06,,1.51E+06,2.41E+06,2.01E+06,,1.39E+06,2.70E+06,2.09E+06,,823549,2.47E+06,372087,240562,294800,,194252,241950,,2.79E+06,,1.06E+06,,,,381261,,371412,,,,,,,243477,179520,,,,
Q5SVL6,RPGP2_MOUSE,Rap1gap2,Rap1 GTPase-activating protein 2,17,17,269556,,,430875,3.30E+06,205016,423775,460511,3.29E+06,190109,524496,458798,3.52E+06,236321,424055,181817,212945,,251971,289501,348553,,,,,,,,,,,,,,,,,,,,,,
A2ALS5,RPGP1_MOUSE,Rap1gap,Rap1 GTPase-activating protein 1,24,22,156211,210805,,398748,3.12E+06,229940,423845,420370,3.31E+06,210275,601306,520171,3.18E+06,253992,594580,494935,588569,256081,263890,278167,230847,,,,381789,,,202999,,158365,,,,,,198366,,,,,,,
A2ALS7,A2ALS7_MOUSE,Rap1gap,Rap1 GTPase-activating protein (Fragment),4,4,,,,,685729,97606,77202.2,76549.4,688155,,91439.7,,696833,199411,145281,85152.9,134899,,,51323,,,,,,,,,91417.5,,,,,,,,,,,,,,
Q99JI6,RAP1B_MOUSE,Rap1b,Ras-related protein Rap-1b,14,4,996534,763030,1.05E+06,4.61E+06,,5.91E+06,355864,3.85E+06,163409,1.07E+07,382721,3.87E+06,,6.52E+06,365941,5.81E+06,6.62E+06,1.32E+07,3.24E+06,1.85E+06,1.87E+06,3.62E+06,3.43E+06,2.00E+06,1.91E+06,1.05E+07,,5.42E+06,2.09E+06,8.61E+06,7.34E+06,,,,4.56E+06,6.65E+06,2.29E+06,981043,5.06E+06,,2.23E+06,1.39E+06,
A0A0G2JE52,A0A0G2JE52_MOUSE,Rap1a,small monomeric GTPase,3,3,331985,193158,244730,207341,,1.07E+06,,320264,,982094,,333930,,222202,,598286,586244,2.71E+06,,,,222202,1.08E+06,,,181359,,299883,,362395,628751,,,,,458216,,32893.7,381562,,,,
P46061,RAGP1_MOUSE,Rangap1,Ran GTPase-activating protein 1,21,20,2.12E+06,2.10E+06,843220,169071,527109,924581,345773,187708,564437,1.03E+06,445185,260032,443152,857022,357842,616080,669151,337679,659839,606951,910117,949136,444596,282856,294134,,,624103,529573,624854,372444,,,,,358077,1.43E+06,1.29E+06,1.01E+06,,,,784464
P69566,RANB9_MOUSE,Ranbp9,Ran-binding protein 9,16,15,,50741.3,,87544.8,1.28E+06,110517,80703.3,97459.8,1.11E+06,,123280,74376.5,1.07E+06,209693,94084.5,322578,436614,,,120473,,678892,,,,,,149007,,,,,,,,,194478,399594,148757,,,,
Q8BIV3,RNBP6_MOUSE,Ranbp6,Ran-binding protein 6,9,9,,,,39503.1,85718.6,43476.2,,35047.4,94005.6,57293.5,,34982.7,62187.3,85023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9CT10,RANB3_MOUSE,Ranbp3,Ran-binding protein 3,9,9,,,,,99961.2,,237800,,155260,,307950,,220439,,256718,,89466.8,,,,,,,,,,,,,,142437,,,,,,,443949,170976,,,,
Q9ERU9,RBP2_MOUSE,Ranbp2,E3 SUMO-protein ligase RanBP2,96,95,590586,1.23E+06,,,,2.51E+06,,,,2.43E+06,685792,,,1.54E+06,,1.46E+06,1.59E+06,1.88E+06,,,,6.24E+06,464214,,,,,,,576608,344441,,,,,1.87E+06,,690999,436908,,,,
Q99NF8,RBP17_MOUSE,Ranbp17,Ran-binding protein 17,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372480,122555,,,,
A0A0R4J0G4,A0A0R4J0G4_MOUSE,Ranbp10,RAN binding protein 10,3,3,,,,,,,,,,,,,,49290.5,,,,,,,,,,,,,,,,,,,,,,,,44791.3,,,,,
P34022,RANG_MOUSE,Ranbp1,Ran-specific GTPase-activating protein,8,8,284897,272181,686689,428956,,158706,791835,445692,,,731940,554136,,,740631,471107,517242,,725750,846913,699583,273918,609696,572866,,,,411976,182769,188814,890267,,299971,1.18E+06,,279730,738132,779375,316401,,1.17E+06,338692,
P62827,RAN_MOUSE,Ran,GTP-binding nuclear protein Ran,16,5,4.30E+06,3.40E+06,3.66E+06,3.03E+06,444591,2.65E+06,5.19E+06,2.11E+06,516827,2.63E+06,5.76E+06,3.92E+06,298064,2.11E+06,5.68E+06,842571,706042,5.34E+06,4.77E+06,3.87E+06,5.28E+06,2.22E+06,3.53E+06,3.97E+06,1.28E+07,2.28E+06,,4.07E+06,9.39E+06,4.61E+06,5.41E+06,884850,737817,2.04E+06,3.62E+06,2.45E+06,1.20E+07,1.40E+07,6.69E+06,,2.17E+07,4.50E+06,
Q9WUP0,RAMP2_MOUSE,Ramp2,Receptor activity-modifying protein 2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79437.2,,,,,,,,,,,,
Q9CQY2,RAMAC_MOUSE,Ramac,RNA guanine-N7 methyltransferase activating subunit,1,0,,,,,,,145338,,,,172138,,,,173910,,,,,58172.3,,,,60350.6,,,,,,,,,,,,,,,,,,,
Q8BTF8,RALYL_MOUSE,Ralyl,RNA-binding Raly-like protein,10,10,,259390,,,,329960,,,,575455,,,,46272,,229204,134895,,1.01E+06,466431,1.21E+06,,,,,,,,,,,,,,,,,,,,,,
Q64012,RALY_MOUSE,Raly,RNA-binding protein Raly,28,28,927965,775124,917096,,,884964,156101,,,1.06E+06,,,,826475,,2.78E+06,3.43E+06,1.47E+06,2.22E+06,1.50E+06,2.45E+06,1.01E+07,,1.41E+06,,,,1.51E+06,,,510810,5.04E+06,3.74E+06,6.74E+06,,1.76E+06,2.20E+06,163223,354431,,,,
Q9ERD6,RGPS2_MOUSE,Ralgps2,Ras-specific guanine nucleotide-releasing factor RalGPS2,5,5,,,,,,15069.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124548,109881,,,,
A2AR50,RGPS1_MOUSE,Ralgps1,Ras-specific guanine nucleotide-releasing factor RalGPS1,7,6,,82341.2,,,,126959,,,,120230,,,,213746,,104877,83594.6,,,,,,,,,,,,,,,,,,,,,,13839.4,,,,
F8WHN4,F8WHN4_MOUSE,Ralgapb,Ral GTPase-activating protein subunit beta,26,26,60264.3,96134.1,,173502,149397,507089,101675,139684,,469929,162885,158841,,170319,105881,,,,,,,,183060,,,,,,,,130462,,,,,151462,,152013,167093,,,,
A3KGS3,RGPA2_MOUSE,Ralgapa2,Ral GTPase-activating protein subunit alpha-2,6,6,,,,,,22103.8,,,,16464.6,,,,,,16914.7,20160.2,,,,,119103,,,,,,,19139.9,,,,,,,53807.8,,16751.7,17393.1,,,,
A0A2I3BRX9,A0A2I3BRX9_MOUSE,Ralgapa1,"Ral GTPase activating protein, alpha subunit 1",27,27,402236,529300,,184893,,1.03E+06,276059,187207,,966419,181938,208181,,1.14E+06,260825,1.58E+06,1.87E+06,,,,,846518,,,,588302,,,,,,,,,,228077,,,161395,,,,
Q62172,RBP1_MOUSE,Ralbp1,RalA-binding protein 1,12,12,,109304,,,746714,69274.4,,73481,772321,,,,691213,103942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9JIW9,RALB_MOUSE,Ralb,Ras-related protein Ral-B,7,7,,,,178273,,172363,,159057,,257378,,176185,,517353,,589122,748475,808248,,,,975933,161667,282287,,,,,,330614,305462,,,,,1.52E+06,,,508637,,,,
P63321,RALA_MOUSE,Rala,Ras-related protein Ral-A,17,8,7.30E+06,2.33E+06,5.11E+06,4.28E+06,,6.96E+06,341952,3.24E+06,,9.97E+06,353074,4.11E+06,,5.35E+06,310570,1.45E+06,1.54E+06,5.34E+06,2.47E+06,1.62E+06,1.78E+06,576452,5.25E+06,867497,872337,1.97E+06,,2.53E+06,495757,2.78E+06,1.67E+06,,598230,,1.00E+06,1.42E+06,852145,484058,3.29E+06,238300,1.22E+06,430096,1.97E+06
Q9EP71,RAI14_MOUSE,Rai14,Ankycorbin,36,35,,,,,,344694,104836,263730,,,,,485570,,155995,639774,549724,1.10E+06,,154405,338759,1.23E+07,,639280,,,,,,,679226,,,,,1.84E+06,2.58E+06,369117,497844,,,,
Q61818,RAI1_MOUSE,Rai1,Retinoic acid-induced protein 1,16,16,41556.4,,,,,183372,,,,289911,,,,323754,,457970,505379,296115,,,,230403,,,,,,,,,,303291,697414,,,224894,,,,,,,
Q99N57,RAF1_MOUSE,Raf1,RAF proto-oncogene serine/threonine-protein kinase,6,6,,46748.9,,25155,,79094.8,,,,47294.3,,41544.7,,66752,,,,,,,,,,,,,,,,,64081,,,,,41831.9,,,26510.4,,,,
Q8C570,RAE1L_MOUSE,Rae1,mRNA export factor,13,13,362646,329507,160395,30462,,207660,,45177.5,,310459,,,,173022,,199221,256675,319760,783757,420934,509639,1.33E+06,137374,554911,,,,328219,,,152547,151428,132473,235597,,605812,1.64E+06,124259,213983,,,,
Q69Z89,RADIL_MOUSE,Radil,Ras-associating and dilute domain-containing protein,9,9,,,,,,54432.5,,,,48956.9,,,,34153.9,,55448.6,59370.4,,,,,59955.8,,,,,,,,,31942.2,,,,,,,134678,111220,,,,
Q8C551,R51A1_MOUSE,Rad51ap1,RAD51-associated protein 1,5,5,,,,,,,,,,,,,,,,,,,,,,1.58E+06,,,,,,,,,,,,,,,632022,,,,,,
P70388,RAD50_MOUSE,Rad50,DNA repair protein RAD50,24,24,435822,334975,,,,152801,,,,126352,,,,307376,,521597,558612,226456,,,,5.27E+06,,,,,,,,,,,,,,347670,644961,,,,,,
P54728,RD23B_MOUSE,Rad23b,UV excision repair protein RAD23 homolog B,15,12,,,,302359,,167647,603472,443919,,154509,726603,387126,,,701515,,199332,,,,,,495780,,,,,,159821,,571907,,,526195,653519,123250,,685147,174562,,188999,152883,
P54726,RD23A_MOUSE,Rad23a,UV excision repair protein RAD23 homolog A,3,3,,,,47439.5,,,140140,115290,,,179184,44759.9,,,203891,,,,,,,,236701,,,,,,,,823986,,,,,,,322238,115667,,,,
Q61550,RAD21_MOUSE,Rad21,Double-strand-break repair protein rad21 homolog,9,8,152345,121246,139456,,72557.6,160824,,,,163532,,,,84953.8,,32898.6,43512.9,265429,,54823.4,,,108374,66238.8,,,,,,,189250,,,,,232882,,,,,,,
Q9QXK2,RAD18_MOUSE,Rad18,E3 ubiquitin-protein ligase RAD18,5,5,,,,,,,,,,,,,,,,,,,,,,907647,,,,,,,,,,,,,,,,,,,,,
P68040,RACK1_MOUSE,Rack1,Small ribosomal subunit protein RACK1,14,14,533809,472665,473556,640434,,729979,2.77E+06,664958,101831,793431,3.29E+06,899254,,374572,2.64E+06,,224425,208529,697379,566619,1.20E+06,380782,4.22E+06,316024,2.41E+06,,,469967,1.79E+06,3.25E+06,2.75E+06,,,2.19E+06,5.26E+06,,463572,4.94E+06,2.85E+06,199647,3.62E+07,1.26E+07,1.04E+06
Q9WVM1,RGAP1_MOUSE,Racgap1,Rac GTPase-activating protein 1,10,10,,,,,,,,,,,,,,,,,,,,,,1.37E+07,,,,,,,,,,,,,,,,,,,,,
P60764,RAC3_MOUSE,Rac3,Ras-related C3 botulinum toxin substrate 3,4,4,,301255,,1.55E+06,,3.99E+06,223176,1.23E+06,,4.92E+06,240242,1.89E+06,,5.30E+06,328837,2.10E+06,2.17E+06,996592,380675,266891,135942,,627479,,,,,337817,,,,,,,,,,,,,,,
Q05144,RAC2_MOUSE,Rac2,Ras-related C3 botulinum toxin substrate 2,2,2,176834,176714,114253,792877,,98683,57206.1,528694,,80738.2,121963,853496,,,64057.1,180029,,1.37E+06,266258,137376,333213,,654317,,128113,,,513326,106559,381541,443030,,,,,,,,201167,,,,
P63001,RAC1_MOUSE,Rac1,Ras-related C3 botulinum toxin substrate 1,15,6,7.58E+06,4.65E+06,5.87E+06,8.74E+06,853972,3.72E+07,1.63E+06,7.49E+06,718362,4.32E+07,2.32E+06,1.07E+07,407088,2.55E+07,2.19E+06,3.10E+07,2.93E+07,3.00E+07,5.81E+06,3.26E+06,4.17E+06,7.23E+06,9.12E+06,1.23E+06,4.55E+06,5.17E+06,,7.22E+06,3.08E+06,5.88E+06,7.32E+06,6.44E+06,1.23E+06,2.94E+06,3.96E+06,6.11E+06,1.13E+06,959489,3.39E+06,,1.53E+06,520796,
Q5U3K5,RABL6_MOUSE,Rabl6,Rab-like protein 6,25,25,788242,472803,860331,273171,2.77E+06,106050,211056,261095,3.05E+06,55574.8,200526,272771,2.73E+06,,231982,165503,178509,,218932,212389,294755,,89875.7,,,,,230662,204309,192258,131507,,,,,,,134761,139084,,,,
Q9D4V7,RABL3_MOUSE,Rabl3,Rab-like protein 3,2,2,,,,,,23119.9,,9780.17,,12651.8,,,,,,,,,34567,,34357.5,,,,,,,,,,,,,,,,,,27021.2,,,,
E9Q9D5,RBL2A_MOUSE,Rabl2,Rab-like protein 2A,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210308,45711,,,,
Q91X96,MSS4_MOUSE,Rabif,Guanine nucleotide exchange factor MSS4,2,2,161615,197215,205981,201642,,118076,305009,392029,,,297868,284990,,,270844,151109,265328,,,95671.8,,,237521,,,,,,,,114521,,,,,377246,,378060,204898,,,,
P53612,PGTB2_MOUSE,Rabggtb,Geranylgeranyl transferase type-2 subunit beta,5,5,,,,112274,,70203.1,170268,120465,,57085.2,221145,154098,,,198314,,,,,,,,,,,,,,,113357,,,,,,,,114973,41187.3,,,,
Q9JHK4,PGTA_MOUSE,Rabggta,Geranylgeranyl transferase type-2 subunit alpha,18,18,,98753.9,,150242,,82495.4,272090,182905,,102421,313263,187022,,119338,313512,,,92023.3,,,,,,,470355,,,,488119,209329,70886.7,,,,,,,154451,73117.2,,,,
Q9JM13,RABX5_MOUSE,Rabgef1,Rab5 GDP/GTP exchange factor,6,6,,,,42563.4,,113862,21755.3,31905.7,,87983.6,55984.6,,,,27775.2,,,,,,49609,,,,,,,,,,,,,,,,,78686.2,47632.4,,,,
A6H6A9,RBG1L_MOUSE,Rabgap1l,Rab GTPase-activating protein 1-like,9,9,,,,44847.8,178195,70390.1,34678.7,36532.9,211046,67520.8,54862.6,51534.7,185550,,40242.8,,,,,,,,,,62553.9,,,,79993.8,58611.2,,,,,,,,184080,58576.5,,,,
A2AWA9,RBGP1_MOUSE,Rabgap1,Rab GTPase-activating protein 1,29,26,,,144128,178436,899149,119507,117205,104159,883264,167500,170352,163411,897284,152551,160666,,,,,,,,,,185684,,,,131104,,147450,,,,,,,202244,93923.2,,,,
Q8VCH5,RABEK_MOUSE,Rabepk,Rab9 effector protein with kelch motifs,3,3,,,,,,,88834.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185252,129960,,,,
Q91WG2,RABE2_MOUSE,Rabep2,Rab GTPase-binding effector protein 2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69116.8,,,,,,,81867.4,69875.1,,,,
O35551,RABE1_MOUSE,Rabep1,Rab GTPase-binding effector protein 1,30,30,,,,145531,1.19E+06,67711.1,127728,101504,1.33E+06,33498.3,176444,132536,1.25E+06,,146779,,132376,,,25806.1,,,143680,,,,,,,,51116.8,,,,,,,144400,117581,,,,
Q9Z0S9,PRAF1_MOUSE,Rabac1,Prenylated Rab acceptor protein 1,2,2,,,,,,,,,,,,,,280145,,74073.4,119377,249224,,,,,,,,,,,,,,,,,,1.05E+06,,,,,,,
Q8BHH2,RAB9B_MOUSE,Rab9b,Ras-related protein Rab-9B,4,4,,,,217732,,189524,,217671,,274606,30965.6,242260,,,,,,,,,,,141024,,,,,,,,,,,,,,,,140496,,,,
Q9R0M6,RAB9A_MOUSE,Rab9a,Ras-related protein Rab-9A,8,2,,,,130024,,313556,,116242,,394600,,199301,,268262,,,,175699,,,,,,,,,,,128295,744132,,,,,,,,,581061,,,53336.6,
P61028,RAB8B_MOUSE,Rab8b,Ras-related protein Rab-8B,12,10,708786,443778,342959,726273,,843712,71761.8,528053,,1.25E+06,92513.1,663100,,1.02E+06,,1.23E+06,1.27E+06,2.19E+06,347878,265044,,313249,1.22E+06,190968,,377641,,404905,,468673,717752,,,,449861,373121,242428,,967808,,,,
P55258,RAB8A_MOUSE,Rab8a,Ras-related protein Rab-8A,8,8,,142414,,548030,,1.16E+06,70934.6,545943,,1.46E+06,51969.4,509721,,1.60E+06,45081.1,1.09E+06,1.21E+06,1.76E+06,260206,,,1.96E+06,530061,533112,203007,,,475676,192822,1.52E+06,843297,,,,,2.57E+06,,242202,854112,,492921,384430,
P51150,RAB7A_MOUSE,Rab7a,Ras-related protein Rab-7a,20,12,2.69E+06,1.90E+06,2.13E+06,5.50E+06,72889.3,3.69E+06,1.48E+06,3.89E+06,116272,4.95E+06,1.55E+06,4.92E+06,,2.19E+06,1.39E+06,2.45E+06,2.22E+06,4.04E+06,787880,776700,747722,557474,5.05E+06,1.42E+06,1.90E+06,5.56E+06,,1.37E+06,2.19E+06,8.04E+06,3.96E+06,,,2.16E+06,4.11E+06,1.30E+06,459658,792480,5.49E+06,,1.17E+07,6.39E+06,
