Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
Q6PD05,ZN821_MOUSE,Znf821,Zinc finger protein 821,3,0,,,,,,,,,,,,,,,,,,,,,,806245,,,,,,,,,,,,,,,377900,,,,,,
Q0VEE6,ZN800_MOUSE,Znf800,Zinc finger protein 800,6,1,,,,,,8475.11,,,,10915.6,,,,38108.8,,82120.8,96542.3,90054.2,,,,1.80E+06,,,,,,,,,,,,,,134334,75174,,,,,,
Q8R0T2,ZN768_MOUSE,Znf768,Zinc finger protein 768,3,0,,,,,,,,,,,,,,,,,,,,,,303319,,,,,,,,,,,,,,,,,,,,,
Q9D115,ZN706_MOUSE,Znf706,Zinc finger protein 706,2,2,,,,,,,,,,,,,,,,128918,101350,,,,,966816,,113495,,,,,,,,,,,,992942,98740.3,,,,,,
Q9D2D7,ZN687_MOUSE,Znf687,Zinc finger protein 687,7,7,,,,,,,,,,16381.2,,,,,,265573,369285,,87146.8,57812.1,,1.91E+06,,,,,,,,,,42686.3,94818.1,,,,,,,,,,
Q6YND2,ZN653_MOUSE,Znf653,Zinc finger protein 653,1,0,,,,,,,,,,,,,,,,,,,,,,439602,,,,,,,,,,,,,,,,,,,,,
Q91VY9,ZN622_MOUSE,Znf622,Cytoplasmic 60S subunit biogenesis factor ZNF622,4,3,,,,,,,,,,,,,,,,,,,,,,1.39E+06,,,,,,,,,,,,,,538456,,1.25E+06,819757,,,,
Q8BZ47,ZN609_MOUSE,Znf609,Zinc finger protein 609,3,3,,,,,,,,,,,,,,,,43561.2,44769.6,,,,,261636,,,,,,,,,,,,,,,,,,,,,
Q56A10,ZN608_MOUSE,Znf608,Zinc finger protein 608,5,5,,,,,,,,,,,,,,,,80342.8,,,,,,3.54E+06,,,,,,,,,,924550,,,,,595686,,,,,,
Q80YR4,ZN598_MOUSE,Znf598,E3 ubiquitin-protein ligase ZNF598,7,7,66496.4,43262.5,,,44371.9,34257.4,,,40239.7,54734.9,,,36360.8,160793,,235076,286822,,,,,567961,,,,,,,34500.4,,,,,,,49016.8,43021.6,,,,,,
