protocol,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,intersection_size,term_size,query_size
Pellet,mitochondrion,GO:0005739,5.38596884101898e-13,12.26873616340365,34,1889,97
Control/membrane,postsynapse,GO:0098794,6.014495552809577e-13,12.220800791901564,26,1005,97
FASP-Pellet,axon,GO:0030424,6.570169245171824e-13,12.182423443028116,24,805,99
Control/membrane,membrane raft,GO:0045121,7.625488926285399e-13,12.117732305268994,17,319,97
Control/membrane,organelle inner membrane,GO:0019866,7.740177336409521e-13,12.111249089014546,21,584,97
Control/membrane,somatodendritic compartment,GO:0036477,9.293242351615228e-13,12.031832737056767,27,1123,97
Control/membrane,synaptic vesicle,GO:0008021,1.1466833214274633e-12,11.940556504283435,16,272,97
FASP SDS,somatodendritic compartment,GO:0036477,1.2375426543263025e-12,11.907439823328296,27,1123,98
Gel,synaptic vesicle,GO:0008021,1.3650010827181817e-12,11.86486700414092,16,272,98
Pellet,mitochondrial inner membrane,GO:0005743,1.5564196658846748e-12,11.807873290377138,20,530,97
FASP SDS,plasma membrane bounded cell projection,GO:0120025,1.818875931094149e-12,11.740196923959529,38,2481,98
FASP-Pellet,mitochondrial inner membrane,GO:0005743,2.411333325666714e-12,11.617742751674864,20,530,99
Control/membrane,exocytic vesicle,GO:0070382,3.2915610646508897e-12,11.482598083517392,16,291,97
Pellet,intracellular membraneless organelle,GO:0043232,3.3198570951860507e-12,11.47888061030436,60,6515,97
Pellet,membraneless organelle,GO:0043228,3.344581907751965e-12,11.475658163846756,60,6516,97
Gel,exocytic vesicle,GO:0070382,3.915551171156746e-12,11.407207095995895,16,291,98
FASP SDS,axon,GO:0030424,5.25612188762838e-12,11.27933457219435,23,805,98
FASP SDS,glutamatergic synapse,GO:0098978,5.834028624568135e-12,11.23403144435013,23,809,98
SN,somatodendritic compartment,GO:0036477,6.03e-12,11.21990659,26,1123,96
FASP SDS,cell projection,GO:0042995,6.956752353389727e-12,11.15759345639089,38,2587,98
Pellet-pellet,postsynapse,GO:0098794,7.290918550934642e-12,11.137217753373108,25,1005,98
Pellet,somatodendritic compartment,GO:0036477,8.110289148705943e-12,11.090963662009695,26,1123,97
Pellet,organelle inner membrane,GO:0019866,9.611322131602898e-12,11.017216866757613,20,584,97
FASP-Pellet,somatodendritic compartment,GO:0036477,1.4085811861142696e-11,10.851218116611957,26,1123,99
FASP-Pellet,organelle inner membrane,GO:0019866,1.483141859847649e-11,10.828817307499904,20,584,99
FASP 8M urea,intracellular membraneless organelle,GO:0043232,1.6132515228032784e-11,10.792297916275231,59,6515,97
FASP 8M urea,membraneless organelle,GO:0043228,1.6249363310098553e-11,10.789163651074524,59,6516,97
Gel,membrane raft,GO:0045121,1.6266043046724098e-11,10.788718082710284,16,319,98
Pellet-pellet,synapse,GO:0045202,2.224908743737509e-11,10.652687797224171,32,1858,98
Pellet-pellet,mitochondrial inner membrane,GO:0005743,2.459701778259549e-11,10.6091175448915,19,530,98
Control/membrane,mitochondrial membrane,GO:0031966,2.8919083273332934e-11,10.538815478170148,22,791,97
FASP-Pellet,transmembrane transporter complex,GO:1902495,4.1017718241736734e-11,10.387028502489958,18,466,99
Pellet,glutamatergic synapse,GO:0098978,4.540151552201952e-11,10.342929649965257,22,809,97
FASP-Pellet,mitochondrial membrane,GO:0031966,4.6267673411788106e-11,10.334722338620407,22,791,99
Gel,transport vesicle,GO:0030133,8.440342991272441e-11,10.073639904536634,17,421,98
FASP 8M urea,mitochondrial envelope,GO:0005740,1.1083225936802372e-10,9.955333813376486,22,846,97
Control/membrane,mitochondrial envelope,GO:0005740,1.1083225936802372e-10,9.955333813376486,22,846,97
Pellet,mitochondrial envelope,GO:0005740,1.1083225936802372e-10,9.955333813376486,22,846,97
Pellet-pellet,organelle inner membrane,GO:0019866,1.3689366025769057e-10,9.863616664202429,19,584,98
Pellet-pellet,membrane protein complex,GO:0098796,1.3980563794779206e-10,9.854475314425503,26,1256,98
FASP-Pellet,mitochondrial envelope,GO:0005740,1.7659365156482966e-10,9.75302491310228,22,846,99
FASP 8M urea,mitochondrial inner membrane,GO:0005743,2.4303096303933244e-10,9.614338392161008,18,530,97
